id,entity_id,CategoryName,sku,name,description,shortdesc,price,link,image,Brand,Rating,CaffeineType,Count,Flavored,Seasonal,Instock,Facebook,IsKCup
886,2550,"",4066,"","","",59.96,http://www.coffeeforless.com/green-mountain-coffee-double-diamond-extra-bold-k-cups-96ct.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-double-black-diamond-extra-bold-k-cups-96ct-914.jpg,"",5,Caffeinated,96,No,No,Yes,"",1
887,2551,"",4066,"","","",15.99,http://www.coffeeforless.com/green-mountain-coffee-double-diamond-extra-bold-k-cups-24ct.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-double-black-diamond-extra-bold-k-cups-24ct-914.jpg,"",5,Caffeinated,24,No,No,Yes,"",1
888,2552,"",0,"","","",399,http://www.coffeeforless.com/lavazza-blue-lb-1010-manual-home-espresso-machine.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_1010-lg.jpg,"",0,"",0,"","",No,1,""
889,2553,"",0,"","","",68.99,http://www.coffeeforless.com/lavazza-blue-espresso-dolce-100-arabica-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product//l/a/lavazza-blue-espresso-dolce-100-arabica-capsules-100ct.jpg,"",0,Caffeinated,100,No,No,Yes,1,""
890,2555,"",0,"","","",75,http://www.coffeeforless.com/lavazza-blue-espresso-decaffeinated-cartridges-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/lavazza-blue-espresso-decaffeinated-capsules-100ct.jpg,"",0,Decaffeinated,100,No,No,Yes,1,""
891,2557,"",0,"","","",68.99,http://www.coffeeforless.com/lavazza-blue-espresso-intenso-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product//l/a/lavazza-blue-espresso-intenso-capsules-100ct.jpg,"",3,Caffeinated,100,No,No,Yes,1,""
892,2559,"",0,"","","",68.99,http://www.coffeeforless.com/lavazza-blue-espresso-ricco-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product//l/a/lavazza-blue-espresso-ricco-capsules-100ct.jpg,"",0,Caffeinated,100,No,No,Yes,1,""
893,2561,"",0,"","","",68.99,http://www.coffeeforless.com/lavazza-blue-espresso-amabile-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product//l/a/lavazza-blue-espresso-amabile-capsules-100ct.jpg,"",0,Caffeinated,100,No,No,Yes,1,""
894,2563,"",0,"","","",59.95,http://www.coffeeforless.com/lavazza-blue-di-piu-black-tea-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_black_tea-lg.jpg,"",0,Caffeinated,100,No,No,Yes,1,""
895,2564,"",0,"","","",59.95,http://www.coffeeforless.com/lavazza-blue-di-piu-lemon-tea-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_lemon_tea-lg.jpg,"",0,Caffeinated,100,Yes,No,Yes,1,""
896,2565,"",0,"","","",59.95,http://www.coffeeforless.com/lavazza-blue-di-piu-berry-tea-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_berry_tea-lg.jpg,"",0,Caffeinated,100,Yes,No,Yes,1,""
897,2566,"",0,"","","",36.99,http://www.coffeeforless.com/lavazza-blue-di-piu-peach-tea-capsules-50ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_peach_tea-lg.jpg,"",0,Caffeinated,50,Yes,No,Yes,1,""
898,2567,"",0,"","","",59.95,http://www.coffeeforless.com/lavazza-blue-di-piu-mint-tea-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_mint_tea-lg.jpg,"",0,Caffeinated,100,Yes,No,Yes,1,""
899,2568,"",0,"","","",59.95,http://www.coffeeforless.com/lavazza-blue-di-piu-green-tea-cartridges-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/coffeepods/lavazza-blue-di-piu-green-tea-capsules-100ct.jpg,"",0,Caffeinated,100,Yes,No,Yes,1,""
900,2569,"",0,"","","",36.99,http://www.coffeeforless.com/lavazza-blue-di-piu-green-tea-with-lemon-mint-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_mint_lemon-lg.jpg,"",0,Caffeinated,50,Yes,No,No,1,""
901,2570,"",0,"","","",36.99,http://www.coffeeforless.com/lavazza-blue-di-piu-chamomile-tea-capsules-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/lavazza_blue_chamomille-lg.jpg,"",0,Caffeine Free,50,Yes,No,Yes,1,""
902,2573,"",0,"","","",69.95,http://www.coffeeforless.com/lavazza-blue-di-piu-hot-chocolate-packets-100ct.html,http://mcdn.coffeeforless.com/media/catalog/product/images/uploads/intro/cioccolato3.jpg,"",0,Caffeine Free,100,Yes,No,No,1,""
903,2576,"",14737,"","","",15.99,http://www.coffeeforless.com/celestial-seasonings-decaf-green-tea-k-cups-24ct.html,http://mcdn.coffeeforless.com/media/catalog/product//c/e/celestial-seasonings-decaf-green-tea-24ct.jpg,"",5,Decaffeinated,24,No,No,Yes,"",1
904,2577,"",14737,"","","",59.96,http://www.coffeeforless.com/celestial-seasonings-decaf-green-tea-k-cups-96ct.html,http://mcdn.coffeeforless.com/media/catalog/product//c/e/celestial-seasonings-decaf-green-tea-96ct.jpg,"",5,Decaffeinated,96,No,No,Yes,"",1
905,2582,"",6205,"","","",15.99,http://www.coffeeforless.com/green-mountain-coffee-wicked-winter-blend-k-cups-24ct.html,http://mcdn.coffeeforless.com/media/catalog/product//g/r/green-mountain-coffee-wicked-winter-blend-k-cups-24ct_2.jpg,"",5,Caffeinated,24,No,Yes,No,"",1
